name,depth,path,has_children
options,3,requests.sessions.Session.options,False
head,3,requests.sessions.Session.head,False
post,3,requests.sessions.Session.post,False
put,3,requests.sessions.Session.put,False
patch,3,requests.sessions.Session.patch,False
delete,3,requests.sessions.Session.delete,False
send,3,requests.sessions.Session.send,False
merge_environment_settings,3,requests.sessions.Session.merge_environment_settings,False
get_adapter,3,requests.sessions.Session.get_adapter,False
close,3,requests.sessions.Session.close,False
mount,3,requests.sessions.Session.mount,False
session,2,requests.sessions.session,False
to_native_string,2,requests.sessions.to_native_string,False
HTTPAdapter,2,requests.sessions.HTTPAdapter,True
HTTPAdapter,3,requests.sessions.HTTPAdapter.HTTPAdapter,False
init_poolmanager,3,requests.sessions.HTTPAdapter.init_poolmanager,False
proxy_manager_for,3,requests.sessions.HTTPAdapter.proxy_manager_for,False
cert_verify,3,requests.sessions.HTTPAdapter.cert_verify,False
build_response,3,requests.sessions.HTTPAdapter.build_response,False
get_connection,3,requests.sessions.HTTPAdapter.get_connection,False
close,3,requests.sessions.HTTPAdapter.close,False
request_url,3,requests.sessions.HTTPAdapter.request_url,False
add_headers,3,requests.sessions.HTTPAdapter.add_headers,False
proxy_headers,3,requests.sessions.HTTPAdapter.proxy_headers,False
send,3,requests.sessions.HTTPAdapter.send,False
get_connection_with_tls_context,3,requests.sessions.HTTPAdapter.get_connection_with_tls_context,False
build_connection_pool_key_attributes,3,requests.sessions.HTTPAdapter.build_connection_pool_key_attributes,False
RequestsCookieJar,2,requests.sessions.RequestsCookieJar,True
RequestsCookieJar,3,requests.sessions.RequestsCookieJar.RequestsCookieJar,False
get,3,requests.sessions.RequestsCookieJar.get,False
set,3,requests.sessions.RequestsCookieJar.set,False
iterkeys,3,requests.sessions.RequestsCookieJar.iterkeys,False
keys,3,requests.sessions.RequestsCookieJar.keys,False
itervalues,3,requests.sessions.RequestsCookieJar.itervalues,False
values,3,requests.sessions.RequestsCookieJar.values,False
iteritems,3,requests.sessions.RequestsCookieJar.iteritems,False
items,3,requests.sessions.RequestsCookieJar.items,False
list_domains,3,requests.sessions.RequestsCookieJar.list_domains,False
list_paths,3,requests.sessions.RequestsCookieJar.list_paths,False
multiple_domains,3,requests.sessions.RequestsCookieJar.multiple_domains,False
get_dict,3,requests.sessions.RequestsCookieJar.get_dict,False
set_cookie,3,requests.sessions.RequestsCookieJar.set_cookie,False
update,3,requests.sessions.RequestsCookieJar.update,False
copy,3,requests.sessions.RequestsCookieJar.copy,False
get_policy,3,requests.sessions.RequestsCookieJar.get_policy,False
cookiejar_from_dict,2,requests.sessions.cookiejar_from_dict,False
extract_cookies_to_jar,2,requests.sessions.extract_cookies_to_jar,False
merge_cookies,2,requests.sessions.merge_cookies,False
ChunkedEncodingError,2,requests.sessions.ChunkedEncodingError,True
ChunkedEncodingError,3,requests.sessions.ChunkedEncodingError.ChunkedEncodingError,False
ContentDecodingError,2,requests.sessions.ContentDecodingError,True
ContentDecodingError,3,requests.sessions.ContentDecodingError.ContentDecodingError,False
InvalidSchema,2,requests.sessions.InvalidSchema,True
InvalidSchema,3,requests.sessions.InvalidSchema.InvalidSchema,False
TooManyRedirects,2,requests.sessions.TooManyRedirects,True
TooManyRedirects,3,requests.sessions.TooManyRedirects.TooManyRedirects,False
default_hooks,2,requests.sessions.default_hooks,False
dispatch_hook,2,requests.sessions.dispatch_hook,False
PreparedRequest,2,requests.sessions.PreparedRequest,True
PreparedRequest,3,requests.sessions.PreparedRequest.PreparedRequest,False
prepare,3,requests.sessions.PreparedRequest.prepare,False
copy,3,requests.sessions.PreparedRequest.copy,False
prepare_method,3,requests.sessions.PreparedRequest.prepare_method,False
prepare_url,3,requests.sessions.PreparedRequest.prepare_url,False
prepare_headers,3,requests.sessions.PreparedRequest.prepare_headers,False
prepare_body,3,requests.sessions.PreparedRequest.prepare_body,False
prepare_content_length,3,requests.sessions.PreparedRequest.prepare_content_length,False
prepare_auth,3,requests.sessions.PreparedRequest.prepare_auth,False
prepare_cookies,3,requests.sessions.PreparedRequest.prepare_cookies,False
prepare_hooks,3,requests.sessions.PreparedRequest.prepare_hooks,False
Request,2,requests.sessions.Request,True
Request,3,requests.sessions.Request.Request,False
prepare,3,requests.sessions.Request.prepare,False
CaseInsensitiveDict,2,requests.sessions.CaseInsensitiveDict,True
